voice4	voice3	voice2	voice1	harm	beat	meter	onset_strength	beat_strength	LABEL	similarity
16CC/LL	4C\ 4c\	4een'\	4gg'\	V	3	M4/4	4.0	strong beat	0.0	1.0
16C/	4C\ 4c\	4een'\	4gg'\	V	3.25	M4/4	0.0	off beat	0.0	0.8571428571428571
16BB/	4C\ 4c\	4een'\	4gg'\	V	3.5	M4/4	1.0	off beat	0.0	0.8571428571428571
16C/JJ	4C\ 4c\	4een'\	4gg'\	V	3.75	M4/4	0.0	off beat	0.0	0.8
16EE/LL	4r	8cc\L	8ee\L	V	4	M4/4	2.0	weak beat	0.0	1.0
16C/	4r	8cc\L	8ee\L	V	4.25	M4/4	1.0	off beat	0.0	0.0
16DD/	4r	8dd\J	8ff\J	V	4.5	M4/4	3.0	off beat	0.0	0.8
16C/JJ	4r	8dd\J	8ff\J	V	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
16CC/LL	4C\ 4c\	4een'\	4gg'\	V	1	M4/4	4.0	strong beat	0.0	1.0
16C/	4C\ 4c\	4een'\	4gg'\	V	1.25	M4/4	0.0	off beat	0.0	0.8571428571428571
16BBn/	4C\ 4c\	4een'\	4gg'\	V	1.5	M4/4	1.0	off beat	0.0	0.8571428571428571
16C/JJ	4C\ 4c\	4een'\	4gg'\	V	1.75	M4/4	0.0	off beat	0.0	0.8
16EEn/LL	4r	8ee\L	8gg\L	V	2	M4/4	1.0	weak beat	0.0	0.8
16C/	4r	8ee\L	8gg\L	V	2.25	M4/4	1.0	off beat	0.0	0.0
16DD/	4r	8ff\J	8aa\J	V	2.5	M4/4	3.0	off beat	0.0	0.6666666666666666
16C/JJ	4r	8ff\J	8aa\J	V	2.75	M4/4	1.0	off beat	0.0	0.2857142857142857
16CC/LL	2en\	16gg\LL	16bb-\LL	V7	3	M4/4	4.0	strong beat	1.0	0.5
16C/	2en\	16ff\	16aa\	V7	3.25	M4/4	3.0	off beat	0.0	0.5714285714285714
16CC/	2en\	16ee\	16gg\	V7	3.5	M4/4	3.0	off beat	0.0	0.5714285714285714
16C/JJ	2en\	16dd\JJ	16ff\JJ	V7	3.75	M4/4	3.0	off beat	0.0	0.6666666666666666
16CC/LL	2en\	16cc/LL	16een\LL	V7	4	M4/4	3.0	weak beat	0.0	0.6666666666666666
16C/	2en\	16b-/	16dd\	V7	4.25	M4/4	3.0	off beat	0.0	0.5714285714285714
16CC/	2en\	16a/	16cc\	V7	4.5	M4/4	3.0	off beat	0.0	0.5714285714285714
16C/JJ	2en\	16g/JJ	16b-\JJ	V7	4.75	M4/4	3.0	off beat	0.0	0.0
4FF/	16f/LL	4f'/	4a'/	I	1	M4/4	3.0	strong beat	1.0	1.0
4FF/	16f/	4f'/	4a'/	I	1.25	M4/4	0.0	off beat	0.0	0.8
4FF/	16en/	4f'/	4a'/	I	1.5	M4/4	1.0	off beat	0.0	0.8
4FF/	16f/JJ	4f'/	4a'/	I	1.75	M4/4	0.0	off beat	0.0	0.8
4r	16c/LL	8ff\L	8aa\L	I	2	M4/4	3.0	weak beat	0.0	0.8
4r	16f/	8ff\L	8aa\L	I	2.25	M4/4	1.0	off beat	0.0	0.0
4r	16B-/	8gg\J	8bb-\J	I	2.5	M4/4	3.0	off beat	0.0	0.8
4r	16f/JJ	8gg\J	8bb-\J	I	2.75	M4/4	1.0	off beat	0.0	0.3333333333333333
4FF/	16A/LL	4aa'\	4ccc'\	I	3	M4/4	4.0	strong beat	0.0	1.0
4FF/	16f/	4aa'\	4ccc'\	I	3.25	M4/4	1.0	off beat	0.0	0.8571428571428571
4FF/	16e/	4aa'\	4ccc'\	I	3.5	M4/4	1.0	off beat	0.0	0.8571428571428571
4FF/	16f/JJ	4aa'\	4ccc'\	I	3.75	M4/4	1.0	off beat	0.0	1.0
4r	16c/LL	8ff\L	8aa\L	I	4	M4/4	2.0	weak beat	0.0	0.8
4r	16f/	8ff\L	8aa\L	I	4.25	M4/4	1.0	off beat	0.0	0.0
4r	16B-/	8gg\J	8bb-\J	I	4.5	M4/4	3.0	off beat	0.0	0.8
4r	16f/JJ	8gg\J	8bb-\J	I	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
4FF/	16A/LL	4aa'\	4ccc'\	I	1	M4/4	4.0	strong beat	0.0	1.0
4FF/	16f/	4aa'\	4ccc'\	I	1.25	M4/4	1.0	off beat	0.0	0.8571428571428571
4FF/	16en/	4aa'\	4ccc'\	I	1.5	M4/4	1.0	off beat	0.0	0.8571428571428571
4FF/	16f/JJ	4aa'\	4ccc'\	I	1.75	M4/4	1.0	off beat	0.0	1.0
4r	16c/LL	8ff\L	8aa\L	I	2	M4/4	2.0	weak beat	0.0	0.8
4r	16f/	8ff\L	8aa\L	I	2.25	M4/4	1.0	off beat	0.0	0.0
4r	16B-/	8gg\J	8bb-\J	I	2.5	M4/4	3.0	off beat	0.0	0.8
4r	16f/JJ	8gg\J	8bb-\J	I	2.75	M4/4	1.0	off beat	0.0	0.3333333333333333
4FF/	8A/L	8aa\L	8ccc\L	I	3	M4/4	4.0	strong beat	0.0	1.0
4FF/	8a/	8cc\	8fff\	I	3.5	M4/4	3.0	off beat	0.0	1.0
4r	8a/	8cc\	8fff\	I	4	M4/4	0.0	weak beat	0.0	1.0
4r	8a/J	8cc\J	8fff\J	I	4.5	M4/4	0.0	off beat	0.0	0.0
1r	16g/LL	16b-\LL	16eeen\LL	V65	1	M4/4	3.0	strong beat	1.0	0.0
1r	16a/	16cc\	16fff\	V65	1.25	M4/4	3.0	off beat	0.0	0.0
1r	16g/	16b-\	16eee\	V65	1.5	M4/4	3.0	off beat	0.0	0.0
1r	16a/JJ	16cc\JJ	16fff\JJ	V65	1.75	M4/4	3.0	off beat	0.0	0.6666666666666666
1r	16f/LL	16a/LL	16ddd\LL	V65	2	M4/4	2.0	weak beat	0.0	0.0
1r	16g/	16b-/	16eee\	V65	2.25	M4/4	3.0	off beat	0.0	0.0
1r	16f/	16a/	16ddd\	V65	2.5	M4/4	3.0	off beat	0.0	0.0
1r	16g/JJ	16b-/JJ	16eee\JJ	V65	2.75	M4/4	3.0	off beat	0.0	0.6666666666666666
1r	16en/LL	16g/LL	16ccc\LL	V65	3	M4/4	2.0	strong beat	0.0	0.0
1r	16f/	16a/	16ddd\	V65	3.25	M4/4	3.0	off beat	0.0	0.0
1r	16e/	16g/	16ccc\	V65	3.5	M4/4	3.0	off beat	0.0	0.0
1r	16f/JJ	16a/JJ	16ddd\JJ	V65	3.75	M4/4	3.0	off beat	0.0	0.6666666666666666
1r	16d/LL	16f/LL	16bb-\LL	V65	4	M4/4	2.0	weak beat	0.0	0.0
1r	16e/	16g/	16ccc\	V65	4.25	M4/4	3.0	off beat	0.0	0.0
1r	16d/	16f/	16bb-\	V65	4.5	M4/4	3.0	off beat	0.0	0.0
1r	16e/JJ	16g/JJ	16ccc\JJ	V65	4.75	M4/4	3.0	off beat	0.0	0.6666666666666666
2r	16c/LL	16en/LL	16aa\LL	V7	1	M4/4	2.0	strong beat	1.0	0.0
2r	16d/	16f/	16bb-\	V7	1.25	M4/4	3.0	off beat	0.0	0.0
2r	16c/	16e/	16aa\	V7	1.5	M4/4	3.0	off beat	0.0	0.0
2r	16d/JJ	16f/JJ	16bb-\JJ	V7	1.75	M4/4	3.0	off beat	0.0	0.6666666666666666
2r	16B-\LL	16d/LL	16gg\LL	V42	2	M4/4	2.0	weak beat	1.0	0.0
2r	16c\	16e/	16aa\	V42	2.25	M4/4	3.0	off beat	0.0	0.0
2r	16B-\	16d/	16gg\	V42	2.5	M4/4	3.0	off beat	0.0	0.0
2r	16c\JJ	16e/JJ	16aa\JJ	V42	2.75	M4/4	3.0	off beat	0.0	0.6666666666666666
8AA/L	8A/L	8c/L	4ff\	I6	3	M4/4	3.0	strong beat	1.0	1.0
8AA/	8c/	8f/	4ff\	I6	3.5	M4/4	1.0	off beat	0.0	0.8571428571428571
8AA/	8c/	8f/	4eee-\	I6	4	M4/4	1.0	weak beat	0.0	1.0
8AA/J	8c/J	8f/J	4eee-\	I6	4.5	M4/4	0.0	off beat	0.0	0.2857142857142857
8BB-/L	4d/	2f/	2ddd\	IV	1	M4/4	3.0	strong beat	1.0	1.0
8BB-/	4d/	2f/	2ddd\	IV	1.5	M4/4	0.0	off beat	0.0	1.0
8BB-/	2B-/	2f/	2ddd\	IV	2	M4/4	1.0	weak beat	0.0	1.0
8BB-/J	2B-/	2f/	2ddd\	IV	2.5	M4/4	0.0	off beat	0.0	0.3333333333333333
8BB-/L	2B-/	4g/	4eeen\	V42	3	M4/4	2.0	strong beat	1.0	1.0
8BB-/	2B-/	4g/	4eeen\	V42	3.5	M4/4	0.0	off beat	0.0	0.0
8BBn/	4Bn/	4a-/	4fff\	viio7/V	4	M4/4	4.0	weak beat	1.0	1.0
8BB/J	4Bn/	4a-/	4fff\	viio7/V	4.5	M4/4	0.0	off beat	0.0	0.3333333333333333
4C/	[1c	8a/L	16fff\LL	C64	1	M4/4	3.0	strong beat	1.0	0.8
4C/	[1c	8a/L	16ccc\	C64	1.25	M4/4	1.0	off beat	0.0	0.4
4C/	[1c	8g#/	16eeen\	C64	1.5	M4/4	2.0	off beat	0.0	0.8
4C/	[1c	8g#/	16ccc\JJ	C64	1.75	M4/4	1.0	off beat	0.0	0.4
4r	[1c	8a/	16fff\LL	C64	2	M4/4	2.0	weak beat	0.0	0.8
4r	[1c	8a/	16ccc\	C64	2.25	M4/4	1.0	off beat	0.0	0.4
4r	[1c	8g#/J	16eee\	C64	2.5	M4/4	2.0	off beat	0.0	0.8
4r	[1c	8g#/J	16ccc\JJ	C64	2.75	M4/4	1.0	off beat	0.0	0.4
2r	[1c	8a/L	16fff\LL	C64	3	M4/4	2.0	strong beat	0.0	0.8
2r	[1c	8a/L	16ccc\	C64	3.25	M4/4	1.0	off beat	0.0	0.4
2r	[1c	8g#/	16eee\	C64	3.5	M4/4	2.0	off beat	0.0	0.8
2r	[1c	8g#/	16ccc\JJ	C64	3.75	M4/4	1.0	off beat	0.0	0.4
2r	[1c	8a/	16fff\LL	C64	4	M4/4	2.0	weak beat	0.0	0.8
2r	[1c	8a/	16ccc\	C64	4.25	M4/4	1.0	off beat	0.0	0.4
2r	[1c	8g#/J	16eee\	C64	4.5	M4/4	2.0	off beat	0.0	0.8
2r	[1c	8g#/J	16ccc\JJ	C64	4.75	M4/4	1.0	off beat	0.0	0.4
16CC/LL	1c_	4a/	4fff'\	C64	1	M4/4	3.0	strong beat	0.0	1.0
16FF/	1c_	4a/	4fff'\	C64	1.25	M4/4	1.0	off beat	0.0	0.8571428571428571
16EEn/	1c_	4a/	4fff'\	C64	1.5	M4/4	1.0	off beat	0.0	0.8571428571428571
16FF/JJ	1c_	4a/	4fff'\	C64	1.75	M4/4	1.0	off beat	0.0	0.8
16CC/LL	1c_	2a/	4ccc'\	C64	2	M4/4	2.0	weak beat	0.0	1.0
16AA/	1c_	2a/	4ccc'\	C64	2.25	M4/4	1.0	off beat	0.0	0.8
16GG/	1c_	2a/	4ccc'\	C64	2.5	M4/4	1.0	off beat	0.0	0.8
16AA/JJ	1c_	2a/	4ccc'\	C64	2.75	M4/4	1.0	off beat	0.0	1.0
16CC/LL	1c_	2a/	4aa'\	C64	3	M4/4	2.0	strong beat	0.0	1.0
16C/	1c_	2a/	4aa'\	C64	3.25	M4/4	1.0	off beat	0.0	0.8
16BBn/	1c_	2a/	4aa'\	C64	3.5	M4/4	1.0	off beat	0.0	0.8
16C/JJ	1c_	2a/	4aa'\	C64	3.75	M4/4	1.0	off beat	0.0	0.5
16CC/LL	1c_	4ff\	4ff'\	C64	4	M4/4	2.0	weak beat	0.0	1.0
16F/	1c_	4ff\	4ff'\	C64	4.25	M4/4	1.0	off beat	0.0	0.8
16En/	1c_	4ff\	4ff'\	C64	4.5	M4/4	1.0	off beat	0.0	0.8
16F/JJ	1c_	4ff\	4ff'\	C64	4.75	M4/4	1.0	off beat	0.0	0.4
4CC/	2c/]	1een	1gg	V7	1	M4/4	3.0	strong beat	1.0	0.8571428571428571
2C/	2B-/	1een	1gg	V7	3	M4/4	2.0	strong beat	0.0	0.0
4F\	4A/	8ff\L	8ff\L	I	1	M4/4	3.0	strong beat	1.0	0.8
4F\	4A/	8aa\	8ccc\	I	1.5	M4/4	2.0	off beat	0.0	0.8
4r	4r	8aa\	8ccc\	I	2	M4/4	0.0	weak beat	0.0	1.0
4r	4r	8aa\J	8ccc\J	I	2.5	M4/4	0.0	off beat	0.0	1.0
8r	8r	4aa'\	4ccc'\	I	3	M4/4	0.0	strong beat	0.0	1.0
8a/	8cc\	4aa'\	4ccc'\	I	3.5	M4/4	2.0	off beat	0.0	0.5
8r	8r	4ff'\	4aa'\	I	4	M4/4	1.0	weak beat	0.0	1.0
8f/	8a/	4ff'\	4aa'\	I	4.5	M4/4	2.0	off beat	0.0	0.0
8r	8r	4bb-'\	4ddd'\	IV	1	M4/4	2.0	strong beat	1.0	1.0
8b-\	8dd\	4bb-'\	4ddd'\	IV	1.5	M4/4	2.0	off beat	0.0	0.5
8r	8r	4gg'\	4bb-'\	ii6	2	M4/4	1.0	weak beat	1.0	1.0
8g/	8b-\	4gg'\	4bb-'\	ii6	2.5	M4/4	2.0	off beat	0.0	0.5
8r	8r	4een'\	4gg'\	V	3	M4/4	1.0	strong beat	1.0	1.0
8en/	8g/	4een'\	4gg'\	V	3.5	M4/4	2.0	off beat	0.0	0.5
8r	8r	4gg'\	4ccc'\	V	4	M4/4	1.0	weak beat	0.0	0.8
8c/	8en/	4gg'\	4ccc'\	V	4.5	M4/4	2.0	off beat	0.0	0.0
4f/	8f/L	8ff\L	4aa\	I	1	M4/4	3.0	strong beat	1.0	0.8
4f/	8a/	8cc\	4aa\	I	1.5	M4/4	2.0	off beat	0.0	0.8
4r	8a/	8cc\	4r	I	2	M4/4	0.0	weak beat	0.0	1.0
4r	8a/J	8cc\J	4r	I	2.5	M4/4	0.0	off beat	0.0	1.0
2r	4a'/	4cc'\	8r	I	3	M4/4	0.0	strong beat	0.0	0.8
2r	4a'/	4cc'\	8fff\	I	3.5	M4/4	1.0	off beat	0.0	0.8
2r	4f'/	4a'/	8r	I	4	M4/4	1.0	weak beat	0.0	0.8
2r	4f'/	4a'/	8eeen\	I	4.5	M4/4	1.0	off beat	0.0	0.0
1r	4b-'\	4dd'\	8r	IV	1	M4/4	2.0	strong beat	1.0	1.0
1r	4b-'\	4dd'\	8ddd\	IV	1.5	M4/4	1.0	off beat	0.0	0.5
1r	4g'/	4b-'\	8r	ii6	2	M4/4	1.0	weak beat	1.0	0.8
1r	4g'/	4b-'\	8ddd-\	ii6	2.5	M4/4	1.0	off beat	0.0	0.4
1r	4en'/	4g'/	8r	V7	3	M4/4	1.0	strong beat	1.0	0.8
1r	4en'/	4g'/	8ccc\	V7	3.5	M4/4	1.0	off beat	0.0	0.8
1r	4c'/	4en'/	8r	V7	4	M4/4	1.0	weak beat	0.0	0.8
1r	4c'/	4en'/	8bb-\	V7	4.5	M4/4	1.0	off beat	0.0	0.0
2r	4f/	4f/	8aa\L	I	1	M4/4	2.0	strong beat	1.0	0.5
2r	4f/	4f/	8ccc\	I	1.5	M4/4	1.0	off beat	0.0	0.6666666666666666
2r	4r	4r	8ccc\	I	2	M4/4	0.0	weak beat	0.0	1.0
2r	4r	4r	8ccc\J	I	2.5	M4/4	0.0	off beat	0.0	1.0
8r	8r	8r	8ccc\L	V7	3	M4/4	0.0	strong beat	1.0	0.4
8c/L	8g/L	8b-\L	8een\	V7	3.5	M4/4	4.0	off beat	0.0	1.0
8c/	8g/	8b-\	8ee\	V7	4	M4/4	0.0	weak beat	0.0	1.0
8c/J	8g/J	8b-\J	8ee\J	V7	4.5	M4/4	0.0	off beat	0.0	0.0
4F\	4a/	4a/	8ff\L	I	1	M4/4	3.0	strong beat	1.0	0.8
4F\	4a/	4a/	8ccc\	I	1.5	M4/4	1.0	off beat	0.0	0.5
4r	4r	4r	8ccc\	I	2	M4/4	0.0	weak beat	0.0	1.0
4r	4r	4r	8ccc\J	I	2.5	M4/4	0.0	off beat	0.0	1.0
8r	8r	8r	8ccc\L	V7	3	M4/4	0.0	strong beat	1.0	0.4
8c\L	8g/L	8b-\L	8een\	V7	3.5	M4/4	4.0	off beat	0.0	1.0
8c\	8g/	8b-\	8ee\	V7	4	M4/4	0.0	weak beat	0.0	1.0
8c\J	8g/J	8b-\J	8ee\J	V7	4.5	M4/4	0.0	off beat	0.0	0.0
16F\LL	16f/LL	16f/LL 16a/	16ff\LL	I	1	M4/4	4.0	strong beat	1.0	0.6666666666666666
16F\	16c/	16f/ 16a/	16een\	I	1.25	M4/4	2.0	off beat	0.0	0.8571428571428571
16F\	16c/	16f/ 16a/	16ff\	I	1.5	M4/4	1.0	off beat	0.0	1.0
16F\JJ	16c/JJ	16f/JJ 16a/	16aa\JJ	I	1.75	M4/4	1.0	off beat	0.0	1.0
16F\LL	16c/LL	16f/LL 16a/	16cc\LL	I	2	M4/4	1.0	weak beat	0.0	1.0
16F\	16c/	16f/ 16a/	16aa\	I	2.25	M4/4	1.0	off beat	0.0	0.8571428571428571
16F\	16c/	16f/ 16a/	16gg\	I	2.5	M4/4	1.0	off beat	0.0	0.8571428571428571
16F\JJ	16c/JJ	16f/JJ 16a/	16ff\JJ	I	2.75	M4/4	1.0	off beat	0.0	0.5714285714285714
16F\LL	16c/LL	16en/LL 16b-/	16ee\LL	V7	3	M4/4	3.0	strong beat	1.0	0.8888888888888888
16F\	16c/	16e/ 16b-/	16ff#\	V7	3.25	M4/4	1.0	off beat	0.0	0.8
16F\	16c/	16e/ 16b-/	16gg\	V7	3.5	M4/4	1.0	off beat	0.0	0.8
16F\JJ	16c/JJ	16e/JJ 16b-/	16ff#\JJ	V7	3.75	M4/4	1.0	off beat	0.0	0.8
16F\LL	16c/LL	16e/LL 16b-/	16gg\LL	V7	4	M4/4	1.0	weak beat	0.0	0.8888888888888888
16F\	16c/	16e/ 16b-/	16bb-\	V7	4.25	M4/4	1.0	off beat	0.0	0.8888888888888888
16F\	16c/	16e/ 16b-/	16aa\	V7	4.5	M4/4	1.0	off beat	0.0	0.8
16F\JJ	16c/JJ	16e/JJ 16b-/	16gg\JJ	V7	4.75	M4/4	1.0	off beat	0.0	0.5
16FF/LL	16c/LL	16f/LL 16a/	16ff\LL	I	1	M4/4	4.0	strong beat	1.0	0.8571428571428571
16FF/	16c/	16f/ 16a/	16een\	I	1.25	M4/4	1.0	off beat	0.0	0.8571428571428571
16FF/	16c/	16f/ 16a/	16ff\	I	1.5	M4/4	1.0	off beat	0.0	1.0
16FF/JJ	16c/JJ	16f/JJ 16a/	16aa\JJ	I	1.75	M4/4	1.0	off beat	0.0	1.0
16FF/LL	16c/LL	16f/LL 16a/	16cc\LL	I	2	M4/4	1.0	weak beat	0.0	1.0
16FF/	16c/	16f/ 16a/	16aa\	I	2.25	M4/4	1.0	off beat	0.0	0.8571428571428571
16FF/	16c/	16f/ 16a/	16gg\	I	2.5	M4/4	1.0	off beat	0.0	0.8571428571428571
16FF/JJ	16c/JJ	16f/JJ 16a/	16ff\JJ	I	2.75	M4/4	1.0	off beat	0.0	0.5714285714285714
16FF/LL	16c/LL	16en/LL 16b-/	16ee\LL	V7	3	M4/4	3.0	strong beat	1.0	0.8888888888888888
16FF/	16c/	16e/ 16b-/	16ff#\	V7	3.25	M4/4	1.0	off beat	0.0	0.8
16FF/	16c/	16e/ 16b-/	16gg\	V7	3.5	M4/4	1.0	off beat	0.0	0.8
16FF/JJ	16c/JJ	16e/JJ 16b-/	16ff#\JJ	V7	3.75	M4/4	1.0	off beat	0.0	0.8
16FF/LL	16c/LL	16e/LL 16b-/	16gg\LL	V7	4	M4/4	1.0	weak beat	0.0	0.8888888888888888
16FF/	16c/	16e/ 16b-/	16bb-\	V7	4.25	M4/4	1.0	off beat	0.0	0.8888888888888888
16FF/	16c/	16e/ 16b-/	16aa\	V7	4.5	M4/4	1.0	off beat	0.0	0.8
16FF/JJ	16c/JJ	16e/JJ 16b-/	16gg\JJ	V7	4.75	M4/4	1.0	off beat	0.0	0.5
4FF/	4c/	4f/ 4a/	4ff\	I	1	M4/4	3.0	strong beat	1.0	1.0
4FF/	4c/	4f/ 4a/	4cc\ 4aa\	I	2	M4/4	2.0	weak beat	0.0	1.0
4FF/	4c/	4f/ 4a/	4a\ 4ff\	I	3	M4/4	1.0	strong beat	0.0	0.0
1r	1r	1r	4c#/	.	4	M4/4	1.0	weak beat	1.0	0.5
[1F#	1A#	1c#	4f#/	I	1	M4/4	3.0	strong beat	1.0	1.0
[1F#	1A#	1c#	4a#/	I	2	M4/4	1.0	weak beat	0.0	1.0
[1F#	1A#	1c#	4cc#\	I	3	M4/4	1.0	strong beat	0.0	1.0
[1F#	1A#	1c#	8.a#/L	I	4	M4/4	1.0	weak beat	0.0	1.0
[1F#	1A#	1c#	16f#/Jk	I	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
1F#]	2B\	2d#/	4ff#\	IV64	1	M4/4	3.0	strong beat	1.0	1.0
1F#]	2B\	2d#/	8.dd#\L	IV64	2	M4/4	1.0	weak beat	0.0	1.0
1F#]	2B\	2d#/	16b\Jk	IV64	2.75	M4/4	1.0	off beat	0.0	0.3333333333333333
1F#]	2A#\	2c#/	4cc#\	I	3	M4/4	3.0	strong beat	1.0	1.0
1F#]	2A#\	2c#/	8.a#/L	I	4	M4/4	1.0	weak beat	0.0	1.0
1F#]	2A#\	2c#/	16f#/Jk	I	4.75	M4/4	1.0	off beat	0.0	0.2857142857142857
[1C#	4G#\	4B/	4e#/	V7	1	M4/4	4.0	strong beat	1.0	0.2857142857142857
[1C#	4F#\	4A#/	4f#/	I64	2	M4/4	3.0	weak beat	1.0	0.2857142857142857
[1C#	4E#\	4g#/	4b\	V7	3	M4/4	3.0	strong beat	1.0	0.2857142857142857
[1C#	8.F#\L	4f#/	4a#/	I64	4	M4/4	3.0	weak beat	1.0	1.0
[1C#	16A#\Jk	4f#/	4a#/	I64	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
2C#/]	2c#\	4.e#/	4.g#/	V7	1	M4/4	3.0	strong beat	1.0	0.3333333333333333
2C#/]	2c#\	8f#/	16b/LL	V7	2.5	M4/4	2.0	off beat	0.0	0.6666666666666666
2C#/]	2c#\	8f#/	16a#/JJ	V7	2.75	M4/4	1.0	off beat	0.0	0.0
2r	2r	4e#'/	4g#'/	V7	3	M4/4	2.0	strong beat	0.0	0.0
2r	2r	4r	4c#/	V7	4	M4/4	1.0	weak beat	0.0	0.5
[1FF#	1A#	1c#	4f#/	I	1	M4/4	3.0	strong beat	1.0	1.0
[1FF#	1A#	1c#	4a#/	I	2	M4/4	1.0	weak beat	0.0	1.0
[1FF#	1A#	1c#	4cc#\	I	3	M4/4	1.0	strong beat	0.0	1.0
[1FF#	1A#	1c#	8.a#/L	I	4	M4/4	1.0	weak beat	0.0	1.0
[1FF#	1A#	1c#	16f#/Jk	I	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
1FF#]	2B\	2d#/	4ff#\	IV64	1	M4/4	3.0	strong beat	1.0	1.0
1FF#]	2B\	2d#/	8.dd#\L	IV64	2	M4/4	1.0	weak beat	0.0	1.0
1FF#]	2B\	2d#/	16b\Jk	IV64	2.75	M4/4	1.0	off beat	0.0	0.3333333333333333
1FF#]	2A#\	4c#/	4cc#\	I	3	M4/4	3.0	strong beat	1.0	0.8
1FF#]	2A#\	4f#/	8.a#/L	I	4	M4/4	2.0	weak beat	0.0	1.0
1FF#]	2A#\	4f#/	16f#/Jk	I	4.75	M4/4	0.0	off beat	0.0	0.3333333333333333
2BB/	2G#\	2f#/	2dd#\	ii6	1	M4/4	3.0	strong beat	1.0	0.75
2BB#/	2G#\	[2f#/	8d#/L	V65/V	3	M4/4	2.0	strong beat	1.0	0.75
2BB#/	2G#\	[2f#/	8e#/	V65/V	3.5	M4/4	1.0	off beat	0.0	0.8571428571428571
2BB#/	2G#\	[2f#/	8f#/	V65/V	4	M4/4	0.0	weak beat	0.0	1.0
2BB#/	2G#\	[2f#/	8g#/J	V65/V	4.5	M4/4	1.0	off beat	0.0	0.3333333333333333
1C#	4F#\	2f#/]	2a#/	C64	1	M4/4	3.0	strong beat	1.0	1.0
1C#	4A#\	2f#/]	2a#/	C64	2	M4/4	1.0	weak beat	0.0	0.2857142857142857
1C#	2B\	2e#/	8.g#/L	V7	3	M4/4	3.0	strong beat	1.0	0.75
1C#	2B\	2e#/	16f#/Jk	V7	3.75	M4/4	1.0	off beat	0.0	0.75
1C#	2B\	2e#/	8.g#/L	V7	4	M4/4	1.0	weak beat	0.0	0.75
1C#	2B\	2e#/	16a#/Jk	V7	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
4F#\	4A#\	4f#/	4f#/	I	1	M4/4	3.0	strong beat	1.0	0.8
4F#\	4A#\	4c#/	4r	I	2	M4/4	1.0	weak beat	0.0	1.0
4F#\	4A#\	4c#/	4r	I	3	M4/4	0.0	strong beat	0.0	1.0
4F#\	4A#\	4c#/	8r	I	4	M4/4	0.0	weak beat	0.0	1.0
4F#\	4A#\	4c#/	16cc#\	I	4.75	M4/4	1.0	off beat	0.0	0.2857142857142857
4F#\	4B\	4e#/	8.g#/L	V7	1	M4/4	3.0	strong beat	1.0	0.75
4F#\	4B\	4e#/	16c#/Jk	V7	1.75	M4/4	1.0	off beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	8.b/L	V7	2	M4/4	1.0	weak beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	16a#/Jk	V7	2.75	M4/4	1.0	off beat	0.0	0.75
4F#\	4B\	4e#/	4g#'/	V7	3	M4/4	1.0	strong beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	8r	V7	4	M4/4	0.0	weak beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	16cc#\	V7	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
4F#\	4A#\	4f#/	8.f#/L	I	1	M4/4	2.0	strong beat	1.0	0.8
4F#\	4A#\	4f#/	16c#/Jk	I	1.75	M4/4	1.0	off beat	0.0	1.0
4F#\	4A#\	4c#/	8.a#/L	I	2	M4/4	1.0	weak beat	0.0	0.8571428571428571
4F#\	4A#\	4c#/	16g#/Jk	I	2.75	M4/4	1.0	off beat	0.0	0.8571428571428571
4F#\	4A#\	4c#/	4f#'/	I	3	M4/4	1.0	strong beat	0.0	1.0
4F#\	4A#\	4c#/	8r	I	4	M4/4	0.0	weak beat	0.0	1.0
4F#\	4A#\	4c#/	16cc#\	I	4.75	M4/4	1.0	off beat	0.0	0.2857142857142857
4F#\	4B\	4e#/	8.g#/L	V7	1	M4/4	3.0	strong beat	1.0	0.75
4F#\	4B\	4e#/	16c#/Jk	V7	1.75	M4/4	1.0	off beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	8.b/L	V7	2	M4/4	1.0	weak beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	16a#/Jk	V7	2.75	M4/4	1.0	off beat	0.0	0.75
4F#\	4B\	4e#/	4g#'/	V7	3	M4/4	1.0	strong beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	8r	V7	4	M4/4	0.0	weak beat	0.0	0.8571428571428571
4F#\	4B\	4e#/	16cc#\	V7	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
2F#\	2A#\	2f#/	8.a#/L	I	1	M4/4	3.0	strong beat	1.0	1.0
2F#\	2A#\	2f#/	16f#/Jk	I	1.75	M4/4	0.0	off beat	0.0	0.8
2F#\	2A#\	2f#/	8.cc#\L	I	2	M4/4	1.0	weak beat	0.0	0.8
2F#\	2A#\	2f#/	32a#\LL	I	2.75	M4/4	1.0	off beat	0.0	0.8
