voice4	voice3	voice2	voice1	harm	beat	meter	onset_strength	beat_strength	LABEL	similarity
2c/	4f/	4a/	8gg\L	I64	1	M4/4	2.0	strong beat	1.0	0.8571428571428571
2c/	4f/	4a/	8ff\J	I64	1.5	M4/4	1.0	off beat	0.0	1.0
2c/	16f/LL	16a/LL	[2ff\	I64	2	M4/4	0.0	weak beat	0.0	0.5714285714285714
2c/	16e/	16g#/	[2ff\	I64	2.25	M4/4	2.0	off beat	0.0	0.5714285714285714
2c/	16f/	16a/	[2ff\	I64	2.5	M4/4	2.0	off beat	0.0	0.5714285714285714
2c/	16e/JJ	16g#/JJ	[2ff\	I64	2.75	M4/4	2.0	off beat	0.0	0.5714285714285714
16c/LL	4.f/	2a/	[2ff\	I64	3	M4/4	2.0	strong beat	0.0	0.6666666666666666
16Bn/	4.f/	2a/	[2ff\	I64	3.25	M4/4	1.0	off beat	0.0	0.6666666666666666
16c/	4.f/	2a/	[2ff\	I64	3.5	M4/4	1.0	off beat	0.0	0.6666666666666666
16B/JJ	4.f/	2a/	[2ff\	I64	3.75	M4/4	1.0	off beat	0.0	0.6666666666666666
4c/	4.f/	2a/	16ff\LL]	I64	4	M4/4	1.0	weak beat	0.0	1.0
4c/	4.f/	2a/	16ccc\	I64	4.25	M4/4	1.0	off beat	0.0	0.5714285714285714
4c/	8f#/	2a/	16bb-\	I64	4.5	M4/4	2.0	off beat	0.0	0.8571428571428571
4c/	8f#/	2a/	16aa\JJ	I64	4.75	M4/4	1.0	off beat	0.0	0.5714285714285714
4c/	4g/	4b-\	16aa\LL	V7	1	M4/4	2.0	strong beat	1.0	0.8571428571428571
4c/	4g/	4b-\	16gg\	V7	1.25	M4/4	1.0	off beat	0.0	0.8571428571428571
4c/	4g/	4b-\	16ff#\	V7	1.5	M4/4	1.0	off beat	0.0	0.8571428571428571
4c/	4g/	4b-\	16gg\JJ	V7	1.75	M4/4	1.0	off beat	0.0	0.8571428571428571
16c/LL	2g/	2e/	[4bb-\	V7	2	M4/4	2.0	weak beat	0.0	0.75
16d-/	2g/	2e/	[4bb-\	V7	2.25	M4/4	1.0	off beat	0.0	0.75
16c/	2g/	2e/	[4bb-\	V7	2.5	M4/4	1.0	off beat	0.0	0.75
16d-/JJ	2g/	2e/	[4bb-\	V7	2.75	M4/4	1.0	off beat	0.0	0.75
4.c/	2g/	2e/	8.bb-\L]	V7	3	M4/4	1.0	strong beat	0.0	0.8571428571428571
4.c/	2g/	2e/	32gg\LL	V7	3.75	M4/4	1.0	off beat	0.0	1.0
4.c/	2g/	2e/	32ee\JJJ	V7	3.875	M4/4	1.0	off beat	0.0	1.0
4.c/	8g/L	8e/L	8cc\L	V7	4	M4/4	1.0	weak beat	0.0	0.8571428571428571
8E\	8c/J	8g/J	8b-\J	V65	4.5	M4/4	2.0	off beat	1.0	0.5714285714285714
4F\	4c/	4f/	16b-/LL	I	1	M4/4	2.0	strong beat	1.0	0.6666666666666666
4F\	4c/	4f/	16a/	I	1.25	M4/4	1.0	off beat	0.0	0.6666666666666666
4F\	4c/	4f/	16g/	I	1.5	M4/4	1.0	off beat	0.0	0.8
4F\	4c/	4f/	16f/JJ	I	1.75	M4/4	0.0	off beat	0.0	0.6666666666666666
4r	8r	8r	4f/	I	2	M4/4	0.0	weak beat	0.0	0.5
4r	8b-\	8dd\	4f/	I	2.5	M4/4	2.0	off beat	0.0	0.8
4r	16b-/LL	16dd\LL	4r	I	3	M4/4	0.0	strong beat	0.0	0.0
4r	16a/	16cc\	4r	I	3.25	M4/4	2.0	off beat	0.0	0.0
4r	16g/	16b-\	4r	I	3.5	M4/4	2.0	off beat	0.0	0.0
4r	16f/JJ	16a\JJ	4r	I	3.75	M4/4	2.0	off beat	0.0	0.0
8r	8e/L	8g/L	8r	I	4	M4/4	2.0	weak beat	0.0	0.6666666666666666
8C/	8G/J	8e/J	8bb-\	V7	4.5	M4/4	3.0	off beat	1.0	0.2857142857142857
4F\	4A/	4f/	16bb-\LL	I	1	M4/4	3.0	strong beat	1.0	0.8
4F\	4A/	4f/	16aa\	I	1.25	M4/4	1.0	off beat	0.0	0.8
4F\	4A/	4f/	16gg\	I	1.5	M4/4	1.0	off beat	0.0	0.8
4F\	4A/	4f/	16ff\JJ	I	1.75	M4/4	1.0	off beat	0.0	0.6666666666666666
4r	8r	8r	4ff'\	I	2	M4/4	0.0	weak beat	0.0	0.5
4r	8b-\	8dd\	4ff'\	I	2.5	M4/4	2.0	off beat	0.0	0.8
4r	16b-/LL	16dd\LL	4r	I	3	M4/4	0.0	strong beat	0.0	0.0
4r	16a/	16cc\	4r	I	3.25	M4/4	2.0	off beat	0.0	0.0
4r	16g/	16b-\	4r	I	3.5	M4/4	2.0	off beat	0.0	0.0
4r	16f/JJ	16a\JJ	4r	I	3.75	M4/4	2.0	off beat	0.0	0.0
8r	8e/L	8g/L	8r	I	4	M4/4	2.0	weak beat	0.0	0.6666666666666666
8C/	8G/J	8e/J	8bb-\	V7	4.5	M4/4	3.0	off beat	1.0	0.2857142857142857
4F\	4A/	4f/	16bb-\LL	I	1	M4/4	3.0	strong beat	1.0	0.8
4F\	4A/	4f/	16aa\	I	1.25	M4/4	1.0	off beat	0.0	0.8
4F\	4A/	4f/	16gg\	I	1.5	M4/4	1.0	off beat	0.0	0.8
4F\	4A/	4f/	16ff\JJ	I	1.75	M4/4	1.0	off beat	0.0	0.6666666666666666
4r	8r	8r	4ff'\	I	2	M4/4	0.0	weak beat	0.0	0.5
4r	8b-\	8dd\	4ff'\	I	2.5	M4/4	2.0	off beat	0.0	0.8
4r	16b-/LL	16dd\LL	2r	IV	3	M4/4	0.0	strong beat	1.0	0.0
4r	16a/	16cc\	2r	IV	3.25	M4/4	2.0	off beat	0.0	0.0
4r	16g/	16b-\	2r	IV	3.5	M4/4	2.0	off beat	0.0	0.0
4r	16f/JJ	16a\JJ	2r	IV	3.75	M4/4	2.0	off beat	0.0	0.0
8r	8e/L	8g/L	2r	V7/vi	4	M4/4	2.0	weak beat	1.0	0.4
8A\	8e/J	8cc#/J	2r	V7/vi	4.5	M4/4	2.0	off beat	0.0	0.3333333333333333
8D/L	8f/L	8dd/L	2.aa\	vi	1	M4/4	4.0	strong beat	1.0	1.0
8d/	8d/	8f/	2.aa\	vi	1.5	M4/4	1.0	off beat	0.0	1.0
8d/	8d/	8f/	2.aa\	vi	2	M4/4	0.0	weak beat	0.0	1.0
8d/J	8d/J	8f/J	2.aa\	vi	2.5	M4/4	0.0	off beat	0.0	1.0
8d\L	8d/L	8f/L	2.aa\	vi	3	M4/4	0.0	strong beat	0.0	1.0
8d\	8d/	8f/	2.aa\	vi	3.5	M4/4	0.0	off beat	0.0	0.6666666666666666
8d\	8d/	8f/	16gg\LL	vi	4	M4/4	1.0	weak beat	0.0	0.8
8d\	8d/	8f/	16ff\	vi	4.25	M4/4	1.0	off beat	0.0	0.8
8d\J	8d/J	8f/J	16ee\	vi	4.5	M4/4	1.0	off beat	0.0	0.8
8d\J	8d/J	8f/J	16dd\JJ	vi	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
[1A	1e	1g	8dd\L	V7/vi	1	M4/4	3.0	strong beat	1.0	0.75
[1A	1e	1g	8cc#\J	V7/vi	1.5	M4/4	1.0	off beat	0.0	1.0
[1A	1e	1g	4cc#\	V7/vi	2	M4/4	0.0	weak beat	0.0	1.0
[1A	1e	1g	16cc#\LL	V7/vi	3	M4/4	0.0	strong beat	0.0	0.8571428571428571
[1A	1e	1g	16ee\	V7/vi	3.25	M4/4	1.0	off beat	0.0	0.8571428571428571
[1A	1e	1g	16dd\	V7/vi	3.5	M4/4	1.0	off beat	0.0	0.75
[1A	1e	1g	16ff\JJ	V7/vi	3.75	M4/4	1.0	off beat	0.0	0.8571428571428571
[1A	1e	1g	16ee\LL	V7/vi	4	M4/4	1.0	weak beat	0.0	1.0
[1A	1e	1g	16gg\	V7/vi	4.25	M4/4	1.0	off beat	0.0	0.8571428571428571
[1A	1e	1g	16ff\	V7/vi	4.5	M4/4	1.0	off beat	0.0	0.8571428571428571
[1A	1e	1g	16aa\JJ	V7/vi	4.75	M4/4	1.0	off beat	0.0	0.6666666666666666
1A]	8A/L	16c#/LL	[2gg\	V7/vi	1	M4/4	2.0	strong beat	0.0	0.6666666666666666
1A]	8A/L	16e/	[2gg\	V7/vi	1.25	M4/4	1.0	off beat	0.0	0.5714285714285714
1A]	8Bn/	16d/	[2gg\	V7/vi	1.5	M4/4	2.0	off beat	0.0	0.75
1A]	8Bn/	16f/JJ	[2gg\	V7/vi	1.75	M4/4	1.0	off beat	0.0	0.5
1A]	8c#/	16e/LL	[2gg\	V7/vi	2	M4/4	2.0	weak beat	0.0	0.8571428571428571
1A]	8c#/	16g/	[2gg\	V7/vi	2.25	M4/4	1.0	off beat	0.0	0.5714285714285714
1A]	8d/J	16f/	[2gg\	V7/vi	2.5	M4/4	2.0	off beat	0.0	0.8571428571428571
1A]	8d/J	16a/JJ	[2gg\	V7/vi	2.75	M4/4	1.0	off beat	0.0	0.6666666666666666
1A]	4.e/	4.g/	8gg/L]	V7/vi	3	M4/4	2.0	strong beat	0.0	0.8571428571428571
1A]	4.e/	4.g/	8B-/	V7/vi	3.5	M4/4	1.0	off beat	0.0	0.8571428571428571
1A]	4.e/	4.g/	8A/	V7/vi	4	M4/4	0.0	weak beat	0.0	0.8571428571428571
1A]	8c#/	8e/	8gg/J	V7/vi	4.5	M4/4	2.0	off beat	0.0	0.2857142857142857
4D\	4d/	4f/	16gg\LL	ii	1	M4/4	3.0	strong beat	1.0	0.8
4D\	4d/	4f/	16ff\	ii	1.25	M4/4	1.0	off beat	0.0	0.8
4D\	4d/	4f/	16ee\	ii	1.5	M4/4	1.0	off beat	0.0	0.8
4D\	4d/	4f/	16dd\JJ	ii	1.75	M4/4	1.0	off beat	0.0	0.6666666666666666
4r	8r	8r	4dd'\	ii	2	M4/4	0.0	weak beat	0.0	0.5
4r	8f/	8a/	4dd'\	ii	2.5	M4/4	2.0	off beat	0.0	0.8
4r	16f/LL	16a/LL	2r	ii	3	M4/4	0.0	strong beat	0.0	0.0
4r	16e/	16g/	2r	ii	3.25	M4/4	2.0	off beat	0.0	0.0
4r	16d/	16f/	2r	ii	3.5	M4/4	2.0	off beat	0.0	0.0
4r	16c/JJ	16e/JJ	2r	ii	3.75	M4/4	2.0	off beat	0.0	0.0
8r	8Bn/L	8d/L	2r	V7	4	M4/4	2.0	weak beat	1.0	0.4
8G\	8f/J	8bn/J	2r	V7	4.5	M4/4	3.0	off beat	0.0	0.3333333333333333
8C/L	8e/L	8cc/L	2.gg\	I	1	M4/4	4.0	strong beat	1.0	1.0
8c/	8c/	8e/	2.gg\	I	1.5	M4/4	1.0	off beat	0.0	1.0
8c/	8c/	8e/	2.gg\	I	2	M4/4	0.0	weak beat	0.0	1.0
8c/J	8c/J	8e/J	2.gg\	I	2.5	M4/4	0.0	off beat	0.0	1.0
8c/L	8c/L	8e/L	2.gg\	I	3	M4/4	0.0	strong beat	0.0	1.0
8c/	8c/	8e/	2.gg\	I	3.5	M4/4	0.0	off beat	0.0	0.6666666666666666
8c/	8c/	8e/	16ff\LL	I	4	M4/4	1.0	weak beat	0.0	0.8
8c/	8c/	8e/	16ee\	I	4.25	M4/4	1.0	off beat	0.0	0.8
8c/J	8c/J	8e/J	16dd\	I	4.5	M4/4	1.0	off beat	0.0	0.8
8c/J	8c/J	8e/J	16cc\JJ	I	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
8G\L	1d	1f	8cc\L	V7	1	M4/4	3.0	strong beat	1.0	0.75
8G\	1d	1f	8bn\J	V7	1.5	M4/4	1.0	off beat	0.0	1.0
8G\	1d	1f	2b\	V7	2	M4/4	0.0	weak beat	0.0	1.0
8G\J	1d	1f	2b\	V7	2.5	M4/4	0.0	off beat	0.0	1.0
8G\L	1d	1f	2b\	V7	3	M4/4	0.0	strong beat	0.0	1.0
8G\	1d	1f	2b\	V7	3.5	M4/4	0.0	off beat	0.0	0.8571428571428571
8G\	1d	1f	16gg\LL	V7	4	M4/4	1.0	weak beat	0.0	1.0
8G\	1d	1f	16ff\	V7	4.25	M4/4	1.0	off beat	0.0	0.8571428571428571
8G\J	1d	1f	16ee\	V7	4.5	M4/4	1.0	off beat	0.0	0.8571428571428571
8G\J	1d	1f	16dd\JJ	V7	4.75	M4/4	1.0	off beat	0.0	0.6666666666666666
8G\L	[1e	1g	8dd\L	I64	1	M4/4	2.0	strong beat	1.0	0.6666666666666666
8G\	[1e	1g	8cc\J	I64	1.5	M4/4	1.0	off beat	0.0	1.0
8G\	[1e	1g	[4cc\	I64	2	M4/4	0.0	weak beat	0.0	1.0
8G\J	[1e	1g	[4cc\	I64	2.5	M4/4	0.0	off beat	0.0	1.0
8G\L	[1e	1g	16cc\LL]	I64	3	M4/4	0.0	strong beat	0.0	0.8
8G\L	[1e	1g	16gg\	I64	3.25	M4/4	1.0	off beat	0.0	0.8
8G\	[1e	1g	16ff#\	I64	3.5	M4/4	1.0	off beat	0.0	0.8
8G\	[1e	1g	16gg\JJ	I64	3.75	M4/4	1.0	off beat	0.0	0.8
8G\	[1e	1g	16aa\LL	I64	4	M4/4	1.0	weak beat	0.0	0.8
8G\	[1e	1g	16gg\	I64	4.25	M4/4	1.0	off beat	0.0	0.8
8G\J	[1e	1g	16ffn\	I64	4.5	M4/4	1.0	off beat	0.0	0.8
8G\J	[1e	1g	16ee\JJ	I64	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
8A\L	4e/]	2.f#/	8dd\L	V43/V	1	M4/4	3.0	strong beat	1.0	0.75
8A\	4e/]	2.f#/	8cc\J	V43/V	1.5	M4/4	1.0	off beat	0.0	0.75
8A\	2d/	2.f#/	2ccc\	V43/V	2	M4/4	2.0	weak beat	0.0	1.0
8A\J	2d/	2.f#/	2ccc\	V43/V	2.5	M4/4	0.0	off beat	0.0	1.0
8A\L	2d/	2.f#/	2ccc\	V43/V	3	M4/4	0.0	strong beat	0.0	1.0
8A\	2d/	2.f#/	2ccc\	V43/V	3.5	M4/4	0.0	off beat	0.0	1.0
8A\	4d/	4cc\	4ff#\	V43/V	4	M4/4	2.0	weak beat	0.0	1.0
8A\J	4d/	4cc\	4ff#\	V43/V	4.5	M4/4	0.0	off beat	0.0	0.2857142857142857
4G\	4d/	16bn/LL	[1gg	V	1	M4/4	3.0	strong beat	1.0	0.8
4G\	4d/	16g/	[1gg	V	1.25	M4/4	1.0	off beat	0.0	1.0
4G\	4d/	16g/	[1gg	V	1.5	M4/4	0.0	off beat	0.0	1.0
4G\	4d/	16g/JJ	[1gg	V	1.75	M4/4	0.0	off beat	0.0	0.6666666666666666
4r	8r	16g/LL	[1gg	V	2	M4/4	0.0	weak beat	0.0	1.0
4r	8r	16g/	[1gg	V	2.25	M4/4	0.0	off beat	0.0	0.5
4r	8f/	16b/	[1gg	V	2.5	M4/4	2.0	off beat	0.0	0.8
4r	8f/	16g/JJ	[1gg	V	2.75	M4/4	1.0	off beat	0.0	0.4
2r	4e/	16cc/LL	[1gg	V	3	M4/4	2.0	strong beat	0.0	0.8
2r	4e/	16g/	[1gg	V	3.25	M4/4	1.0	off beat	0.0	1.0
2r	4e/	16g/	[1gg	V	3.5	M4/4	0.0	off beat	0.0	1.0
2r	4e/	16g/JJ	[1gg	V	3.75	M4/4	0.0	off beat	0.0	0.4
2r	4Bn/	16dd\LL	[1gg	V	4	M4/4	2.0	weak beat	0.0	0.8
2r	4Bn/	16g\	[1gg	V	4.25	M4/4	1.0	off beat	0.0	1.0
2r	4Bn/	16g\	[1gg	V	4.5	M4/4	0.0	off beat	0.0	1.0
2r	4Bn/	16g\JJ	[1gg	V	4.75	M4/4	0.0	off beat	0.0	0.4
4r	4c/	16ee\LL	1gg_	I	1	M4/4	2.0	strong beat	1.0	0.8
